"Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type"
"562754,3/31/2016 15:49,3/31/2016 15:58,31089,Court House Metro / 15th & N Uhle St ,31073,Washington Blvd & Walter Reed Dr ,W00687,Registered"
"375173,3/31/2016 15:45,3/31/2016 15:51,31226,34th St & Wisconsin Ave NW,31236,37th & O St NW / Georgetown University,W21074,Registered"
"264242,3/31/2016 15:42,3/31/2016 15:46,31271,Constitution Ave & 2nd St NW/DOL,31218,L'Enfant Plaza / 7th & C St SW,W20842,Registered"
"3089713,3/31/2016 15:33,3/31/2016 16:24,31212,21st & M St NW,31212,21st & M St NW,W20894,Casual"
"177780,3/31/2016 15:29,3/31/2016 15:32,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31269,3rd St & Pennsylvania Ave SE,W21695,Registered"
"754931,3/31/2016 15:10,3/31/2016 15:23,31506,1st & Rhode Island Ave NW,31203,14th & Rhode Island Ave NW,W21223,Registered"
"1266874,3/31/2016 15:11,3/31/2016 15:32,31254,15th & K St NW,31104,Adams Mill & Columbia Rd NW,W20378,Registered"
"4462613,3/31/2016 14:57,3/31/2016 16:11,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W00142,Casual"
"209415,3/31/2016 14:57,3/31/2016 15:01,31269,3rd St & Pennsylvania Ave SE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00820,Registered"
"1735373,3/31/2016 14:56,3/31/2016 15:25,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31258,Lincoln Memorial,W20768,Registered"
"303038,3/31/2016 14:50,3/31/2016 14:55,31201,15th & P St NW,31101,14th & V St NW,W22139,Registered"
"5878683,3/31/2016 14:40,3/31/2016 16:18,31308,39th & Veazey St NW,31313,Connecticut Ave & Tilden St NW,W21282,Registered"
"829240,3/31/2016 14:39,3/31/2016 14:53,31121,Calvert St & Woodley Pl NW,31312,Wisconsin Ave & O St NW,W20760,Registered"
"273972,3/31/2016 14:37,3/31/2016 14:41,31237,25th St & Pennsylvania Ave NW,31225,C & O Canal & Wisconsin Ave NW,W01121,Registered"
"425845,3/31/2016 14:28,3/31/2016 14:35,31104,Adams Mill & Columbia Rd NW,31110,20th St & Florida Ave NW,W22151,Registered"
"7598578,3/31/2016 14:15,3/31/2016 16:22,31277,17th & G St NW,31206,19th & E Street NW,W21729,Casual"
"276639,3/31/2016 14:09,3/31/2016 14:13,31259,20th St & Virginia Ave NW,31253,19th & K St NW,W21180,Registered"
"461321,3/31/2016 14:02,3/31/2016 14:10,31603,1st & M St NE,31508,Gallaudet / 8th St & Florida Ave NE,W22191,Casual"
"409711,3/31/2016 14:02,3/31/2016 14:09,31254,15th & K St NW,31252,21st St & Pennsylvania Ave NW,W00354,Registered"
"1424625,3/31/2016 13:58,3/31/2016 14:22,31236,37th & O St NW / Georgetown University,31212,21st & M St NW,W00642,Casual"
"902735,3/31/2016 13:52,3/31/2016 14:08,31109,7th & T St NW,31246,M St & Pennsylvania Ave NW,W01409,Registered"
"885959,3/31/2016 13:50,3/31/2016 14:04,31305,Connecticut Ave & Newark St NW / Cleveland Park,31302,Wisconsin Ave & Newark St NW,W00434,Registered"
"1238049,3/31/2016 13:39,3/31/2016 14:00,31279,19th & G St NW,31509,New Jersey Ave & R St NW,W00980,Registered"
"527943,3/31/2016 13:38,3/31/2016 13:47,31603,1st & M St NE,31600,5th & K St NW,W00162,Registered"
"9972356,3/31/2016 13:38,3/31/2016 16:24,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W00359,Casual"
"2494161,3/31/2016 13:37,3/31/2016 14:19,31261,21st St & Constitution Ave NW,31237,25th St & Pennsylvania Ave NW,W00015,Casual"
